"day","month","year","t_max","t_min","prec","sol_rad"
1,3,1993,32.4,23.6909327820191,3.8,16.55728651
2,3,1993,33.6,20.6909327820191,0,24.73243438
3,3,1993,32.2,23.2909327820191,0,18.55315474
4,3,1993,23.8,22.6909327820191,0,9.747608337
5,3,1993,32,20.8909327820191,47.7,18.91725802
6,3,1993,29.2,20.2909327820191,11.8,16.3160359
7,3,1993,29.6,20.8909327820191,0,15.18431767
8,3,1993,31.6,22.6909327820191,0.9,19.9506534
9,3,1993,27.4,22.2909327820191,0.5,10.94619633
10,3,1993,33.4,19.6909327820191,0,24.08306978
11,3,1993,31.6,22.8909327820191,0,13.42719884
12,3,1993,35.2,22.0909327820191,0,21.81377506
13,3,1993,34.8,20.6909327820191,0,22.81210822
14,3,1993,32.4,23.6909327820191,0,12.63184241
15,3,1993,35,23.2909327820191,0,25.30081975
16,3,1993,34.6,22.6909327820191,0,18.73152006
17,3,1993,35.2,23.2909327820191,3.5,25.48398839
18,3,1993,29,21.8909327820191,1,13.15056558
19,3,1993,33.2,21.2909327820191,26.8,22.69986986
20,3,1993,31.8,21.8909327820191,26.8,13.32383386
21,3,1993,30.2,19.8909327820191,0,19.58091444
22,3,1993,32,22.6909327820191,0,24.68475284
23,3,1993,30,21.6909327820191,0,13.49623176
24,3,1993,32.8,22.2909327820191,9.9,20.57194124
25,3,1993,29.8,20.6909327820191,0.3,16.45872993
26,3,1993,29.6,22.6909327820191,14.6,13.49768788
27,3,1993,29.4,19.8909327820191,0.2,17.11350645
28,3,1993,31.2,21.4909327820191,1.2,16.45323252
29,3,1993,29.8,22.8909327820191,0,14.64272428
30,3,1993,30.2,21.4909327820191,0,19.23665198
31,3,1993,29.6,22.2909327820191,0,12.99380497
1,4,1990,26,21.4,0,12.66168119
2,4,1990,30.8,20.6,16.3,20.85310214
3,4,1990,31.8,23,2.5,20.67874531
4,4,1990,30.8,22,24.6,17.5571044
5,4,1990,30.8,24,2.2,13.62131401
6,4,1990,33.3910277,21.4,0,10.67163317
7,4,1990,31.8,22.8,0,18.83091608
8,4,1990,31.8,24,0,18.16466169
9,4,1990,34.6,22,0,26.9531325
10,4,1990,34.2,22.2,0,24.65007861
11,4,1990,33.8,25.2,0,22.67591166
12,4,1990,34.2,24.4,0,20.05484684
13,4,1990,34,25.6,3.1,16.78927763
14,4,1990,34.2,25.2,18.2,12.8817331
15,4,1990,34.2,23.2,0.3,23.55873563
16,4,1990,31.8,21.4,0,14.474678
17,4,1990,31.8,22.4,0.8,22.86073238
18,4,1990,31.8,24.2,0,19.12338289
19,4,1990,31.2,23,0,18.61786394
20,4,1990,30.4,24.2,3.1,13.607131
21,4,1990,32.6,24,90.1,16.96622134
22,4,1990,32,23,0.5,14.69865387
23,4,1990,29.6,20.4,0,15.32159815
24,4,1990,29.6,22.6,4.8,10.18154477
25,4,1990,28.6,23.6,0,12.72594189
26,4,1990,30,22,7.5,15.74113018
27,4,1990,31.6,22.4,2.3,18.10967041
28,4,1990,30,21.6,0,20.15248868
29,4,1990,28.2,23,0.5,17.74172644
30,4,1990,28.2,22,0,10.73959157
1,5,1995,30.8,22,24.7,21.01608194
2,5,1995,30.8,21.6,0.3,18.14007208
3,5,1995,32.6,23.4,0,25.21540459
4,5,1995,31.2,24.8,0,17.45683705
5,5,1995,33.6,23.2,1,24.19550786
6,5,1995,29.8,23,0,15.20667168
7,5,1995,31.6,23.2,0,19.26129904
8,5,1995,32.2,22.2,0,23.14615992
9,5,1995,30.4,24.2,0,15.76516608
10,5,1995,34.52825128,22.6,0,23.8561469
11,5,1995,33.8,22.4,0,22.41781415
12,5,1995,33.6,24.2,0,19.73982047
13,5,1995,33.6,23.6,0,16.75987882
14,5,1995,31.4,24.2,0,16.1151818
15,5,1995,33.8,22.2,0,24.29627603
16,5,1995,34.36504396,23.8,2.3,10.81367953
17,5,1995,32.2,22.6,0,20.82966228
18,5,1995,27.4,23.4,0.4,9.397526794
19,5,1995,30.2,22.4,0,10.46212209
20,5,1995,33.8,21.4,0.3,25.50306269
21,5,1995,32.6,23.6,1,22.70620575
22,5,1995,32.2,22.4,0,16.54817875
23,5,1995,33.8,23.4,5.6,23.56213819
24,5,1995,29.8,20.8,17,16.19934562
25,5,1995,29.2,20.4,0.3,17.55151038
26,5,1995,31.8,23,18,19.81440598
27,5,1995,29.8,20.8,4.7,17.05167279
28,5,1995,33.6,23,67.3,18.85451914
29,5,1995,31,21.38945295,0,19.28769636
30,5,1995,31.6,23.6,0,22.60005867
31,5,1995,32.8,21,0,23.02902263
1,6,2011,36.60261431,24.50261431,22,22.33756693
2,6,2011,31.56678743,22.56678743,0,16.95584533
3,6,2011,31.66553324,23.66553324,0,20.39026117
4,6,2011,32.17836526,22.67836526,0,17.96495187
5,6,2011,28.99567884,20.99567884,41,18.35540263
6,6,2011,33.26590045,22.26590045,0,19.25334544
7,6,2011,32.62886379,24.02886379,105,19.09671879
8,6,2011,36.29891027,22.19891027,0,21.00402262
9,6,2011,34.40688323,22.40688323,3.1,17.54220985
10,6,2011,34.45914754,23.15914754,0,18.77722646
11,6,2011,30.88086776,22.28086776,22.4,21.01279384
12,6,2011,30.44234811,23.44234811,0,19.75324073
13,6,2011,34.61958269,23.61958269,3.5,20.45698178
14,6,2011,33.5100887,18.9100887,1.6,19.30847132
15,6,2011,33.9109083,22.4109083,8.5,20.44141719
16,6,2011,33.87820586,24.07820586,2.1,19.62430999
17,6,2011,34.34713364,25.84713364,0.3,19.60016823
18,6,2011,35.49825075,24.29825075,0.3,21.6053401
19,6,2011,37.75589551,23.95589551,0,20.20945837
20,6,2011,36.12870606,23.12870606,7.4,18.99895372
21,6,2011,34.47102963,23.17102963,0,20.26485882
22,6,2011,32.01426994,23.01426994,0,18.48890398
23,6,2011,36.20841213,22.20841213,0,17.82760379
24,6,2011,34.06257623,22.86257623,0,18.67537497
25,6,2011,35.79585064,21.19585064,0,19.12381494
26,6,2011,35.19670589,20.89670589,0.5,17.76475776
27,6,2011,37.17247638,21.77247638,0.6,18.53112122
28,6,2011,33.18278159,19.28278159,0,21.04281046
29,6,2011,33.17754777,21.87754777,0,19.51466007
30,6,2011,36.38252327,23.78252327,0,21.13960537
1,7,1994,30.4,24.4,0,13.17740551
2,7,1994,33.6,20.4,0,22.29986392
3,7,1994,32,22.2,0.3,18.42114066
4,7,1994,32,23.4,35,20.3745349
5,7,1994,31.8,20.8,1.4,14.69642918
6,7,1994,30.8,23,1.9,23.24197385
7,7,1994,34.6,22,0,14.56290866
8,7,1994,34.2,21.8,0,23.72084585
9,7,1994,32.2,22.8,0,22.5364107
10,7,1994,33.4,21.4,3,24.35527277
11,7,1994,30,21.6,0,11.29527963
12,7,1994,31,19.8,0,13.25976864
13,7,1994,33,19.6,0,21.40257099
14,7,1994,34.6,21.2,0,21.27062648
15,7,1994,34.4,22.4,0,19.02680325
16,7,1994,33.6,23.6,0,14.81567548
17,7,1994,33.8,22.2,0,15.88812608
18,7,1994,33.2,22.4,0,14.99568176
