"day","month","year","t_max","t_min","prec","sol_rad"
1,2,1986,32.2,22.8,0,21.11697259
2,2,1986,34,22.9,0,23.04893039
3,2,1986,32.2,22.2,0,20.05188713
4,2,1986,32.4,22,0,23.29942097
5,2,1986,31.4,23.12505636,0,21.16546007
6,2,1986,32.2,23.2,0,19.02264473
7,2,1986,32.8,23.4,0,20.09202485
8,2,1986,33.2,22.4,0,21.75260788
9,2,1986,32.6,24.4,0,17.68615574
10,2,1986,32.6,23.8,0,20.08493515
11,2,1986,32.1,23.8,0,21.16473858
12,2,1986,33,23.81479803,0,21.2132234
13,2,1986,31.2,25.4,0,18.7418466
14,2,1986,32,25.1,0,21.16128394
15,2,1986,30.8,24.1,0,23.58999046
16,2,1986,32.8,24.3,0,19.91451964
17,2,1986,33.2,24,0,19.95909084
18,2,1986,31.6,23.8,0,12.66891378
19,2,1986,31.8,23.4,0,17.94775189
20,2,1986,32.2,23,0,21.59331929
21,2,1986,31.4,24,0,17.87609213
22,2,1986,31.8,23.4,0,21.68464326
23,2,1986,31.2,23.2,0,17.80174946
24,2,1986,30.4,24.4,35,17.23383922
25,2,1986,30,23.2,0,17.2697341
26,2,1986,30,21.8,0,20.64581826
27,2,1986,30.2,20.6,0,21.5987972
28,2,1986,31.4,21.2,0,21.63997506
1,3,2009,30.4,24,62,14.966695
2,3,2009,26.2,22,2.8,11.33969769
3,3,2009,27.8,27.48580128,0,9.209167174
4,3,2009,31,24.8,0,13.21398801
5,3,2009,31.4,23.4,0,23.21549747
6,3,2009,32.4,23.4,0,24.79056971
7,3,2009,31.4,23.2,0,24.67587134
8,3,2009,32.2,23.2,0,24.86788355
9,3,2009,33,23.6,0,24.90489742
10,3,2009,31.8,22.2,0,17.13115381
11,3,2009,32.6,22.8,0,19.23939944
12,3,2009,32.2,22.6,0,20.15263931
13,3,2009,31.8,24,0,17.98222966
14,3,2009,32.6,24,0,19.19317231
15,3,2009,34.2,24,0,20.31931564
16,3,2009,33.6,24,0,20.49537297
17,3,2009,31.4,25,0,19.33033334
18,3,2009,30.6,25.2,0,18.1687908
19,3,2009,32.47243414,25,0,20.05821527
20,3,2009,31.2,25.4,0,16.53602975
21,3,2009,30.2,26.2,0,18.31797184
22,3,2009,32.41729167,23.61729167,0,19.78802356
23,3,2009,31,25.8,0,13.96188899
24,3,2009,31.8,25.2,0,18.96766546
25,3,2009,32.6,25.4,0,17.36611559
26,3,2009,33,25.4,0,17.30911165
27,3,2009,32.4,24.2,0,18.5035055
28,3,2009,32,24.6,0,16.06144635
29,3,2009,31,24.2,0,18.9232873
30,3,2009,33,24.8,0,19.79230344
31,3,2009,31.6,25.6,0,17.62925102
1,4,1991,34,23.9,0,23.53193278
2,4,1991,32.82537422,23,0,24.00724427
3,4,1991,31.6,23.4,0,23.85565178
4,4,1991,32.4,23.2,0,20.41884312
5,4,1991,33,23.2,0,18.85833596
6,4,1991,34.4,25.2,0,19.32966174
7,4,1991,34.8,25.6,10,15.2678496
8,4,1991,34,25.8,1.3,12.14509313
9,4,1991,32.8,25.2,0,11.99105546
10,4,1991,32.87998261,25.47998261,0,13.39754915
11,4,1991,33.6,25.6,15,22.75949091
12,4,1991,34,25.4,41,18.23203954
13,4,1991,31,26.40499652,0,13.24099071
14,4,1991,32.4,26.21338889,0,18.84728552
15,4,1991,32.6,24.4,0,16.3510949
16,4,1991,33.4,24.9,0,24.12470634
17,4,1991,33.4,24.6,0,19.76121431
18,4,1991,31.26101274,26,0,14.62663616
19,4,1991,31.6,24.8,0,22.53736929
20,4,1991,32,25.4,16,19.88864391
21,4,1991,31.4,23,3.5,15.22922789
22,4,1991,31.4,23,25.4,16.92486344
23,4,1991,32.6,22.6,0,16.45141231
24,4,1991,32.4,23.74367385,0,20.45960754
25,4,1991,32.8,26.4,0,23.22443632
26,4,1991,32.6,26.6,0,22.59021183
27,4,1991,31.6,26,3.6,15.4859415
28,4,1991,32.4,25.7,0,19.78474341
29,4,1991,32,25.8,0.2,20.07674156
30,4,1991,31,25.4,0,10.69278438
1,5,2000,32.92469292,25.6,1.4,22.93793597
2,5,2000,31.47521708,27.27521708,0,17.56042383
3,5,2000,33.31575786,25.8,0,21.06149128
4,5,2000,31.88691416,25.8,0,13.56022581
5,5,2000,31.69151983,25.6,0,15.53206953
6,5,2000,32.86713656,25.4,20.8,11.40583448
7,5,2000,32.26276034,24.86276034,0,10.33221318
8,5,2000,32.63481921,24.8,26.9,11.69241465
9,5,2000,32.89524956,24.5,0,22.00406944
10,5,2000,32.01292522,25.8,46.5,10.91586759
11,5,2000,33.09810061,24,0,15.7524433
12,5,2000,32.16593404,25,22.4,14.07449115
13,5,2000,32.07209716,25.8,56.8,15.57240477
14,5,2000,32.25192418,26.25192418,1.6,10.88143416
